HIOS Plan ID,Plan Marketing Name,HIOS Product ID,Market Coverage,Dental Only Plan,Network ID,Service Area ID,Formulary ID,New\Existing Plan,Plan Type,Level of Coverage,Unique Plan Design,QHP\Non QHP,Notice Required for Pregnancy,Is a Referral Required for Specialist,Specialist s  Requiring a Referral,Plan Level Exclusions,Limited Cost Sharing Plan Variation   Est Advanced Payment,Child Only Offering,Child Only Plan ID,Wellness Program Offered,Disease Management Programs Offered,EHB Apportionment for Pediatric Dental,Guaranteed vs  Estimated Rate,Plan Effective Date,Plan Expiration Date,Out of Country Coverage,Out of Country Coverage Description,Out of Service Area Coverage,Out of Service Area Coverage Description,National Network,Enrollment Payment URL,Life Cycle Status Name,EHB Percent of Total Premium,Does this plan offer Composite Rating,Design Type,Plan Published Indicator
33602TX0430060,Blue Choice Gold PPOSM 112,33602TX043,Small Group,No,TXN012,TXS002,TXF010,Existing,PPO,Gold,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
33602TX0430063,Blue Choice Silver PPOSM 101,33602TX043,Small Group,No,TXN012,TXS002,TXF010,Existing,PPO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
33602TX0430066,Blue Choice Silver PPOSM 118,33602TX043,Small Group,No,TXN012,TXS002,TXF008,Existing,PPO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
33602TX0430071,Blue Choice Gold PPOSM 203,33602TX043,Small Group,No,TXN012,TXS002,TXF008,Existing,PPO,Gold,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
33602TX0430151,Blue Choice Silver PPOSM 401,33602TX043,Small Group,No,TXN012,TXS002,TXF010,New,PPO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
33602TX0430152,Blue Choice Silver PPOSM 402,33602TX043,Small Group,No,TXN012,TXS002,TXF010,New,PPO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
33602TX0470683,Blue Advantage Gold HMOSM 812,33602TX047,Small Group,No,TXN011,TXS161,TXF005,Existing,HMO,Gold,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0470703,Blue Advantage Gold HMOSM 814,33602TX047,Small Group,No,TXN011,TXS111,TXF003,Existing,HMO,Gold,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
45786TX0020012,Silver 12 250 with First 4 Primary Care Visits Free,45786TX002,Individual,No,TXN001,TXS001,TXF006,Existing,HMO,Silver,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Pregnancy,High Blood Pressure & High Cholesterol,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,Emergent is Covered,Yes,Emergenct is Covered,No,https://ssoprod.healthplan.com/sp/ACS.saml2,Issuer Validated,100.00,No,Not Applicable,Yes
33602TX0470844,Blue Advantage Silver HMOSM 804,33602TX047,Small Group,No,TXN011,TXS021,TXF042,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0470864,Blue Advantage Silver HMOSM 804,33602TX047,Small Group,No,TXN011,TXS211,TXF042,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0470886,Blue Advantage Silver HMOSM 818,33602TX047,Small Group,No,TXN011,TXS181,TXF003,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
37755TX0110017,Bronze PPO 100 9450,37755TX011,Small Group,No,TXN002,TXS002,TXF001,Existing,PPO,Bronze,No,Off the Exchange,No,No,,,,Allows Adult-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,No,Emergency Only,Yes,EHB,No,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,Published,,Yes,,Yes
40788TX0360047,Silver HMO 80 4250,40788TX036,Small Group,No,TXN001,TXS001,TXF001,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,No,Emergency Only,Yes,EHB,No,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,Published,,Yes,,Yes
40788TX0360048,Silver HMO 80 4250,40788TX036,Small Group,No,TXN002,TXS002,TXF001,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,No,Emergency Only,Yes,EHB,No,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,Published,,Yes,,Yes
40788TX0360049,Silver HMO 60 3250,40788TX036,Small Group,No,TXN001,TXS001,TXF001,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,No,Emergency Only,Yes,EHB,No,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,Published,,Yes,,Yes
40788TX0360050,Silver HMO 60 3250,40788TX036,Small Group,No,TXN002,TXS002,TXF001,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,No,Emergency Only,Yes,EHB,No,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,Published,,Yes,,Yes
33602TX0460975,Blue Advantage Silver HMO 705,33602TX046,Individual,No,TXN001,TXS231,TXF030,Existing,HMO,Silver,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Design 1,Yes
33602TX0461034,Blue Advantage Bronze HMO 707,33602TX046,Individual,No,TXN001,TXS031,TXF031,Existing,HMO,Expanded Bronze,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Design 1,Yes
33602TX0461058,Blue Advantage Bronze HMO 707,33602TX046,Individual,No,TXN001,TXS271,TXF031,Existing,HMO,Expanded Bronze,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Design 1,Yes
33602TX0461059,Blue Advantage Bronze HMO 302,33602TX046,Individual,No,TXN001,TXS251,TXF021,Existing,HMO,Expanded Bronze,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0461064,Blue Advantage Gold HMO 207,33602TX046,Individual,No,TXN001,TXS261,TXF023,Existing,HMO,Gold,No,Off the Exchange,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0461065,Blue Advantage Gold HMO 603,33602TX046,Individual,No,TXN001,TXS251,TXF024,Existing,HMO,Gold,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0470589,Blue Advantage Silver HMOSM 804,33602TX047,Small Group,No,TXN011,TXS011,TXF042,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0470849,Blue Advantage Silver HMOSM 804,33602TX047,Small Group,No,TXN011,TXS071,TXF042,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0470855,Blue Advantage Silver HMOSM 804,33602TX047,Small Group,No,TXN011,TXS131,TXF042,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0470902,Blue Advantage Silver HMOSM 820,33602TX047,Small Group,No,TXN011,TXS101,TXF003,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0460705,Blue Advantage Bronze HMO 204,33602TX046,Individual,No,TXN001,TXS021,TXF037,Existing,HMO,Expanded Bronze,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0460559,Blue Advantage Gold HMO 206,33602TX046,Individual,No,TXN001,TXS061,TXF024,Existing,HMO,Gold,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0460562,Blue Advantage Gold HMO 206,33602TX046,Individual,No,TXN001,TXS091,TXF024,Existing,HMO,Gold,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0460577,Blue Advantage Gold HMO 206,33602TX046,Individual,No,TXN001,TXS231,TXF024,Existing,HMO,Gold,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0460662,Blue Advantage Security HMO 200,33602TX046,Individual,No,TXN001,TXS091,TXF021,Existing,HMO,Catastrophic,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0460761,Blue Advantage Silver HMO 306,33602TX046,Individual,No,TXN001,TXS061,TXF036,Existing,HMO,Silver,No,Off the Exchange,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
33602TX0460778,Blue Advantage Silver HMO 306,33602TX046,Individual,No,TXN001,TXS221,TXF036,Existing,HMO,Silver,No,Off the Exchange,No,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,https://apply.bcbstx.com/retailshoppingcart/TX/exchange_referred,Published,100.00,No,Not Applicable,Yes
