Insurance Plan Identifier,Insurance Plan Variant Component Type Name,SBC Coverage Name,SBC Coverage Deductible Amount,SBC Coverage Copayment Amount,SBC Coverage Coinsurance Amount,SBC Coverage Limit Amount
33602TX0460554,Exchange variant (no CSR),Maternity,6000.00,900.00,2600.00,60.00
33602TX0460554,Exchange variant (no CSR),Treatment of a simple fracture,2400.00,400.00,0.00,0.00
33602TX0460554,Exchange variant (no CSR),Diabetes,1200.00,800.00,0.00,20.00
33602TX0460555,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460555,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460555,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460555,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460555,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460555,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460556,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460575,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460556,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460556,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460575,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460556,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460575,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460556,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460556,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460557,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460557,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460557,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460557,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460557,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460557,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460558,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460558,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460576,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460558,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460576,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460558,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460558,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460576,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460558,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460576,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460559,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460576,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460559,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460576,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460559,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460577,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460559,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460577,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460559,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460577,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460559,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460577,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460577,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460577,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460578,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460578,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460578,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460578,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460578,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460578,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460580,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460580,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460580,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460581,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460581,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460581,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460582,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460582,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460582,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460583,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460583,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460583,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460584,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460584,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460584,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460585,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460585,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460585,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460586,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460586,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460586,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460560,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460587,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460587,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460587,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460588,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460588,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460588,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460560,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460589,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460560,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460589,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460560,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460589,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460560,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460560,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460590,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460590,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460590,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460591,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460591,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460591,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460592,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460592,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460592,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460593,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460593,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460593,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460594,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460561,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460561,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460561,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460561,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460561,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460561,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460562,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460562,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460562,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460562,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460562,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460562,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460563,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460563,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460563,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460563,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460563,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460563,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460564,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460564,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460564,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460594,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460564,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460564,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460594,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460564,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460596,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460565,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460565,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460596,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460565,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460596,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460565,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460565,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460597,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460565,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460597,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460566,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460597,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460566,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460598,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460566,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460598,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460566,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460598,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460566,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460566,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460567,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460567,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460599,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460567,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460599,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460567,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460599,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460567,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460600,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460567,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460600,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460568,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460600,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460568,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460601,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460568,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460568,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460601,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460568,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460601,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460568,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460602,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460569,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460602,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460569,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460602,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460569,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460569,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460569,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460603,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460569,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460603,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460571,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460571,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460603,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460571,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460655,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460571,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460655,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460571,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460655,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460571,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460655,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460572,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460572,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460655,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460572,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460655,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460572,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460656,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460572,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460656,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460572,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460656,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460573,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460656,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460573,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460656,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460573,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460656,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460573,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460573,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460657,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460573,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460657,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460574,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460657,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460574,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460657,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460574,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460657,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460574,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460657,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460574,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460574,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460575,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460658,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460575,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460658,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460575,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460658,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460658,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460660,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460660,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460658,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460660,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460658,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460660,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460659,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460660,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460659,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460660,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460659,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460661,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460659,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460661,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460659,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460661,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460659,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460661,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460661,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460661,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460682,Non-Exchange variant,Maternity,1950.00,900.00,4800.00,60.00
33602TX0460662,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460662,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460682,Non-Exchange variant,Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460662,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460682,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0460662,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460682,Exchange variant (no CSR),Maternity,1950.00,900.00,4800.00,60.00
33602TX0460662,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460662,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460682,Exchange variant (no CSR),Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460682,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0460663,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460663,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460683,Non-Exchange variant,Maternity,1950.00,900.00,4800.00,60.00
33602TX0460663,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460683,Non-Exchange variant,Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460663,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460683,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0460663,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460683,Exchange variant (no CSR),Maternity,1950.00,900.00,4800.00,60.00
33602TX0460663,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460683,Exchange variant (no CSR),Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460664,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460683,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0460664,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460684,Non-Exchange variant,Maternity,1950.00,900.00,4800.00,60.00
33602TX0460664,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460664,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460684,Non-Exchange variant,Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460664,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460684,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0460664,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460684,Exchange variant (no CSR),Maternity,1950.00,900.00,4800.00,60.00
33602TX0460665,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460684,Exchange variant (no CSR),Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460665,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460684,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0460665,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460665,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460685,Non-Exchange variant,Maternity,1950.00,900.00,4800.00,60.00
33602TX0460665,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460685,Non-Exchange variant,Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460665,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
