HIOS Plan ID,Level of Coverage,CSR Variation Type,Issuer Actuarial Value,AV Calculator Output Number,Medical and Drug Deductibles Integrated ,Medical and Drug Maximum Out Of Pocket Integrated ,Multiple In Network Tiers ,1st Tier Utilization,2nd Tier Utilization, Plan Brochure,URL for Summary of Benefits and Coverage,HSA Eligible,HSA\HRA Employer Contribution,HSA\HRA Employer Contribution Amount,Maximum Coinsurance for Specialty Drugs,Maximum Number of Days for Charging an Inpatient Copay,Begin Primary Care Cost Sharing After a Set Number of Visits,Begin Primary Care Deductible\ Coinsurance After a Set Number of Copays,Plan Variant Marketing Name
33602TX0870046,Expanded Bronze,Non-Exchange variant,,64.93,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh45bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 303
33602TX0870088,Bronze,Exchange variant (no CSR),,60.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh43bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 305
33602TX0870088,Bronze,Non-Exchange variant,,60.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh43bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 305
33602TX0870138,Gold,Exchange variant (no CSR),,81.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 203
33602TX0870138,Gold,Non-Exchange variant,,81.33,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 203
33602TX0870144,Gold,Exchange variant (no CSR),,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
33602TX0870144,Gold,Non-Exchange variant,,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
33602TX0870145,Gold,Exchange variant (no CSR),,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
33602TX0870145,Gold,Non-Exchange variant,,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
33602TX0870146,Gold,Exchange variant (no CSR),,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
33602TX0870146,Gold,Non-Exchange variant,,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
33602TX0870148,Gold,Exchange variant (no CSR),,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
33602TX0870148,Gold,Non-Exchange variant,,78.02,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-gosa78bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Gold 706
40788TX0370024,Gold,Non-Exchange variant,,79.53,Yes,Yes,No,100%,,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,No,No,,,,1,,Gold HMO 80 1500
33602TX0470676,Gold,Non-Exchange variant,,81.22,Yes,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg12bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 812
66252TX0070009,Gold,Exchange variant (no CSR),,78.04,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Gold.pdf,No,No,,,,2,,CHRISTUS Gold
66252TX0070009,Gold,Non-Exchange variant,,78.04,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Gold.pdf,No,No,,,,2,,CHRISTUS Gold
66252TX0130010,Gold,Exchange variant (no CSR),,81.91,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Gold_Plus.pdf,No,No,,,,2,,CHRISTUS Gold Plus
66252TX0130010,Gold,Non-Exchange variant,,81.91,No,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Gold_Plus.pdf,No,No,,,,2,,CHRISTUS Gold Plus
